영상ID,제목,업로드일,조회수,좋아요,댓글수,설명(첫줄),URL
H6qM3HHGNJU,케르비시아 소개 영상,2026-03-09,20,1,0,,https://youtu.be/H6qM3HHGNJU
S7JTbc0Gk-8,줄기세포 치료의 기준  김재룡성형외과,2026-03-07,7,0,0,,https://youtu.be/S7JTbc0Gk-8
cVYmOdDfim0,8  초록빛 오후의 봉봉도슨트,2026-02-25,3,0,0,,https://youtu.be/cVYmOdDfim0
z9fpoOm2hg0,7  마이의 노래도슨트,2026-02-25,2,0,0,,https://youtu.be/z9fpoOm2hg0
NH7pE3moAR4,6  땡글이는 꽃이야!도슨트,2026-02-25,0,0,0,,https://youtu.be/NH7pE3moAR4
QCQqMNg8wHE,5  고흐의 밤에 잠든 캐롤도슨트,2026-02-25,1,0,0,,https://youtu.be/QCQqMNg8wHE
d6KipfiOR5o,4  두근두근 사랑스런 캐롤도슨트,2026-02-25,7,0,0,,https://youtu.be/d6KipfiOR5o
t-FLfiKP-vI,3  빛나는 캐롤도슨트,2026-02-25,3,0,0,,https://youtu.be/t-FLfiKP-vI
Fx-cAXWlSd0,"2  캐롤, 나의 Pink star도슨트",2026-02-25,2,0,0,,https://youtu.be/Fx-cAXWlSd0
q-oSITdmv3Y,1  엄마의 금지옥엽 캐롤도슨트,2026-02-25,7,0,0,,https://youtu.be/q-oSITdmv3Y
fP7GT5pjOYU,8  초록빛 오후의 봉봉,2026-02-25,5,0,0,,https://youtu.be/fP7GT5pjOYU
IgKkyy-5IjY,7  마이의 노래,2026-02-25,3,0,0,,https://youtu.be/IgKkyy-5IjY
bddhhMV-c0Y,6  땡글이는 꽃이야!,2026-02-25,5,0,0,,https://youtu.be/bddhhMV-c0Y
0-PLYpprbWE,5  고흐의 밤에 잠든 캐롤,2026-02-25,6,0,0,,https://youtu.be/0-PLYpprbWE
1bX-U34hFRw,4  두근두근 사랑스런 캐롤,2026-02-25,3,0,0,,https://youtu.be/1bX-U34hFRw
oaaJ-jGFvfM,3  빛나는 캐롤,2026-02-25,10,0,0,,https://youtu.be/oaaJ-jGFvfM
Sfc7YiLzA4I,"2  캐롤, 나의 Pink star",2026-02-25,5,0,0,,https://youtu.be/Sfc7YiLzA4I
VIAGwnRctMI,1  엄마의 금지옥엽 캐롤,2026-02-25,6,1,0,,https://youtu.be/VIAGwnRctMI
v2Ji4JWxgfQ,AI도슨트 크림트 키스,2026-02-21,5,0,0,,https://youtu.be/v2Ji4JWxgfQ
orFs99gCae8,AI뮤직 크림트 키스,2026-02-21,11,0,0,,https://youtu.be/orFs99gCae8
t_AyFBhxzII,AI는 새로운 검색 엔진  준비되셨나요,2026-02-18,2,0,0,,https://youtu.be/t_AyFBhxzII
NTQHsyu84Oc,Copy of 이미진 2,2026-02-14,641,0,0,,https://youtu.be/NTQHsyu84Oc
2_IDKY2wiPg,이미진 대표,2026-02-14,15,0,0,,https://youtu.be/2_IDKY2wiPg
qahPq8xgJCM,재생의료   인허가에서 성공 비즈니스까지,2026-02-07,13,0,0,,https://youtu.be/qahPq8xgJCM
_FSrPhij2ys,Помни  Донской,2026-02-02,5,0,0,,https://youtu.be/_FSrPhij2ys
JRUgjbcP09c,돈스코이호를 기리며,2026-02-02,5,1,0,,https://youtu.be/JRUgjbcP09c
YHTKqCOrgdg,리젠매드컨설팅,2026-01-29,4,0,0,,https://youtu.be/YHTKqCOrgdg
rSHo9y6icN8,소셜허브 터널,2026-01-29,5,0,0,,https://youtu.be/rSHo9y6icN8
k0nRGkIgHjg,설득의 종말  새로운 결정 프레임워크,2026-01-26,4,0,0,,https://youtu.be/k0nRGkIgHjg
TqapH_3hn8w,반고흐 AI 시네마 영어,2026-01-20,19,0,0,,https://youtu.be/TqapH_3hn8w
baa2mCG8to0,바이젠 수제맥주 전략 컨설팅,2026-01-14,10,0,0,,https://youtu.be/baa2mCG8to0
gUtY_AnmlPI,정창덕 총장 연설,2026-01-08,14,0,0,,https://youtu.be/gUtY_AnmlPI
2_rypdD9QL8,The BJ Attao Strategy,2026-01-08,14,1,0,,https://youtu.be/2_rypdD9QL8
0Un9QQf_D58,돈스코이 2,2026-01-07,10,0,0,,https://youtu.be/0Un9QQf_D58
